id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness,popularity,release_decade,mood_tags,instrumental,language
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18,78,2020s,uplifting|summery,False,en
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71,45,2020s,focused|dreamy,True,instrumental
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10,62,2010s,driving|adrenaline,False,en
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86,38,2020s,rainy|cozy,True,instrumental
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05,71,2020s,pumping|motivational,False,en
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92,22,2010s,dreamy|expansive,True,instrumental
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89,41,2010s,warm|smooth,False,en
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22,55,2010s,nocturnal|cinematic,True,instrumental
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78,52,2020s,studying|calm,True,instrumental
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35,65,2020s,golden|carefree,False,en
11,Late Bloom Cypher,MC Halcyon,hip hop,energetic,0.86,96,0.62,0.85,0.08,68,2020s,confident|hard,False,en
12,Winter Prelude,Aria Sonn,classical,melancholy,0.22,68,0.24,0.15,0.95,30,2010s,reflective|somber,True,instrumental
13,Neon Sunrise Drop,Fractal Sky,edm,euphoric,0.95,128,0.88,0.94,0.03,82,2020s,festival|peak-hour,True,instrumental
14,Old Barn Radio,Willow & Wren,folk,nostalgic,0.34,96,0.55,0.42,0.88,34,2000s,rustic|nostalgic,False,en
15,Slow Amber,June Vale,r&b,romantic,0.51,84,0.68,0.72,0.42,58,2010s,sensual|smoky,False,en
16,Iron Requiem,Ashen Vow,metal,aggressive,0.97,168,0.26,0.48,0.04,47,2010s,brutal|dark,False,en
17,Harbor Sun,Coral Line,reggae,hopeful,0.62,88,0.79,0.80,0.28,53,2020s,warm|sunny,False,en
18,Dust On The Dashboard,Ryder Kane,country,wistful,0.45,102,0.48,0.55,0.72,40,2000s,driving|reflective,False,en
